# Which photograph stands for which food, and where it came from.
#
# Written by tool/fetch_food_media.mjs, consumed by tool/sync_food_media.sh. Checked in so the
# catalogue looks the same for everyone and so provenance is reviewable without running
# anything — every row is a cc0 or public-domain-mark image from Openverse.
#
# Editing a row by hand is fine and is how a bad automatic pick gets fixed; the fetcher leaves
# existing rows alone unless run with --force.
#
# id	food	licence	creator	image url	source page
f0001	Anchovy	by-sa-2.0	avlxyz	https://live.staticflickr.com/1344/5122585637_333643cf85_b.jpg	https://www.flickr.com/photos/10559879@N00/5122585637
f0002	Bacon	by-sa-2.0	kjetil_r	https://live.staticflickr.com/6142/5930403567_99a845a0b9_b.jpg	https://www.flickr.com/photos/63564816@N00/5930403567
f0003	Beef brisket	by-2.0	cookbookman17	https://live.staticflickr.com/7043/6881392197_5ac31b7356_b.jpg	https://www.flickr.com/photos/58545726@N02/6881392197
f0004	Beef chuck	by-sa-4.0	Peter P. Othagoer	https://upload.wikimedia.org/wikipedia/commons/2/26/Cutting_Beef_Chuck.jpg	https://commons.wikimedia.org/w/index.php?curid=76975001
f0005	Beef liver	by-sa-4.0	MaiDenzel	https://upload.wikimedia.org/wikipedia/commons/e/e4/Beef_liver.jpg	https://commons.wikimedia.org/w/index.php?curid=164867717
f0006	Beef ribeye	by-sa-4.0	Ceeseven	https://upload.wikimedia.org/wikipedia/commons/9/9a/Beef_Ribeye_Steak_%26_Shrimps_with_Potato_Fries.jpg	https://commons.wikimedia.org/w/index.php?curid=158198802
f0007	Beef sirloin	cc0-1.0		https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvcGQzNS0wMzA0My5qcGc.jpg	https://www.rawpixel.com/image/428190/free-illustration-image-meat-food-cattle
f0008	Beef tenderloin	by-sa-3.0	Rangermike at en.wikipedia	https://upload.wikimedia.org/wikipedia/commons/1/12/Beef_tenderloin.jpg	https://commons.wikimedia.org/w/index.php?curid=14823845
f0009	Black beans	by-2.0	cookbookman17	https://live.staticflickr.com/5221/5684475740_8ea70b4c89.jpg	https://www.flickr.com/photos/58545726@N02/5684475740
f0010	Chicken breast	by-sa-2.0	John Herschell	https://upload.wikimedia.org/wikipedia/commons/d/db/Pan_Roasted_Chicken_Breasts%2C_Garlic_Mashed_Potatoes%2C_Fiddlehead_Ferns_and_Sauce_Supreme.jpg	https://commons.wikimedia.org/w/index.php?curid=6808770
f0011	Chicken breast, roasted	by-sa-2.0	John Herschell	https://upload.wikimedia.org/wikipedia/commons/d/db/Pan_Roasted_Chicken_Breasts%2C_Garlic_Mashed_Potatoes%2C_Fiddlehead_Ferns_and_Sauce_Supreme.jpg	https://commons.wikimedia.org/w/index.php?curid=6808770
f0012	Chicken drumstick	by-sa-2.0	drewgstephens	https://live.staticflickr.com/2851/11892846364_49713e940f_b.jpg	https://www.flickr.com/photos/22809317@N04/11892846364
f0013	Chicken thigh	by-3.0	Schellack	https://upload.wikimedia.org/wikipedia/commons/a/a8/Yakitori_-_Chicken_thigh_and_negi.jpg	https://commons.wikimedia.org/w/index.php?curid=60919781
f0014	Chicken wing	by-sa-2.0	stu_spivack	https://live.staticflickr.com/3935/15484757375_66a073b92c_b.jpg	https://www.flickr.com/photos/35034346243@N01/15484757375
f0015	Chickpeas	by-sa-2.0	Navin75	https://live.staticflickr.com/3024/2671962673_e78995d1b7_b.jpg	https://www.flickr.com/photos/23597588@N00/2671962673
f0016	Clams	by-sa-2.0	inuyaki.com	https://upload.wikimedia.org/wikipedia/commons/d/d7/New_England_clam_bake.jpg	https://commons.wikimedia.org/w/index.php?curid=7341831
f0017	Cod	by-sa-2.5	Hans-Petter Fjeld	https://upload.wikimedia.org/wikipedia/commons/c/cf/Gadus_morhua-Cod-2-Atlanterhavsparken-Norway.JPG	https://commons.wikimedia.org/w/index.php?curid=1012320
f0018	Crab	by-2.0	Yogendra174	https://live.staticflickr.com/5025/5618055957_aae16b2225_b.jpg	https://www.flickr.com/photos/39072595@N03/5618055957
f0019	Duck breast	by-sa-3.0	No machine-readable author provided. Chensiyuan assumed (based on copyright claims).	https://upload.wikimedia.org/wikipedia/commons/8/80/Duck_breast_meat_french.JPG	https://commons.wikimedia.org/w/index.php?curid=1874890
f0020	Edamame	by-2.0	Kanko*	https://upload.wikimedia.org/wikipedia/commons/1/12/Edamame_-_boild_green_soybeans.jpg	https://commons.wikimedia.org/w/index.php?curid=1205925
f0021	Flank steak	by-sa-3.0	unknown	https://upload.wikimedia.org/wikipedia/commons/c/c9/Flank_steak.jpg	https://commons.wikimedia.org/w/index.php?curid=851327
f0022	Ground beef	by-2.0	AAB_BAA	https://live.staticflickr.com/3932/15440562729_7eec8e02bc_b.jpg	https://www.flickr.com/photos/94540264@N06/15440562729
f0023	Ground beef, lean	by-2.0	AAB_BAA	https://live.staticflickr.com/3932/15440562729_7eec8e02bc_b.jpg	https://www.flickr.com/photos/94540264@N06/15440562729
f0024	Ground chicken	by-sa-4.0	Kentin	https://upload.wikimedia.org/wikipedia/commons/e/e5/Nimono_of_winter_melon_and_ground_chicken_2014.jpg	https://commons.wikimedia.org/w/index.php?curid=34026586
f0025	Ground pork	by-sa-4.0	NeoBatfreak	https://upload.wikimedia.org/wikipedia/commons/1/1d/Stir-fried_spinach_and_ground_pork%281%29.jpg	https://commons.wikimedia.org/w/index.php?curid=78247489
f0026	Ground turkey	by-2.0	Michael Coté from Austin, Texas, Texas	https://upload.wikimedia.org/wikipedia/commons/c/c4/Ground_turkey_%284515834437%29.jpg	https://commons.wikimedia.org/w/index.php?curid=38342783
f0027	Haddock	by-sa-3.0	Murcotipton	https://upload.wikimedia.org/wikipedia/commons/1/11/10th_May_2012_Smoked_Haddock.jpg	https://commons.wikimedia.org/w/index.php?curid=22245367
f0028	Halibut	by-3.0	gran	https://upload.wikimedia.org/wikipedia/commons/4/40/Halibut_and_salmon_fillets.jpg	https://commons.wikimedia.org/w/index.php?curid=15449673
f0029	Ham	by-sa-2.0	derobert	https://live.staticflickr.com/4128/5064683249_467e61e5a1_b.jpg	https://www.flickr.com/photos/60044868@N00/5064683249
f0030	Hummus	by-2.0	jules:stonesoup	https://live.staticflickr.com/4140/4911982629_71a5604013_b.jpg	https://www.flickr.com/photos/58367355@N00/4911982629
f0031	Kidney beans	by-sa-3.0	Sanjay Acharya	https://upload.wikimedia.org/wikipedia/commons/8/8b/Kidney_beans.jpg	https://commons.wikimedia.org/w/index.php?curid=1744965
f0032	Lamb chop	by-sa-2.0	ysksmz	https://live.staticflickr.com/5610/15386096818_5220a48d02_b.jpg	https://www.flickr.com/photos/124697177@N05/15386096818
f0033	Lamb, ground	by-2.0	GrahamPics1	https://live.staticflickr.com/5450/7056591191_ca5d6f5d9c_b.jpg	https://www.flickr.com/photos/76526364@N06/7056591191
f0034	Lentils	by-2.0	WordRidden	https://live.staticflickr.com/6/69655578_2792ec56fa_b.jpg	https://www.flickr.com/photos/97844767@N00/69655578
f0035	Lobster	by-2.0	Kit4na	https://live.staticflickr.com/8216/8303686406_e1aa9887c7_b.jpg	https://www.flickr.com/photos/44843078@N03/8303686406
f0036	Mackerel	by-sa-3.0	Obli at English Wikipedia	https://upload.wikimedia.org/wikipedia/commons/2/22/Mackerel_tomato_sauce.jpg	https://commons.wikimedia.org/w/index.php?curid=2799516
